Homolog	Inverted	Non_Inverted	Expected	Fisher_p	Haploblock	p.adj	Annot
AT4G08500	3	5	0.257290651473124	0.00164621103559704	PETPET_11_syn1	0.00205599747364266	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.
AT4G13750	3	3	0.192967988604843	0.000617112679484531	PETPET_11_syn1	0.000867535216086949	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.
AT4G14130	7	1	0.257290651473124	2.72412534043996e-10	PETPET_11_syn1	2.83114455024296e-09	xyloglucan endotransglycosylase-related protein (XTR7)
AT4G14746	3	4	0.225129320038983	0.00105408390228474	PETPET_11_syn1	0.00137835249765788	neurogenic locus notch-like protein;(source:Araport11)
AT4G21390	4	12	0.514581302946248	0.00142182108032089	PETPET_11_syn1	0.00179440305546686	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G26690	4	2	0.192967988604843	1.51672462223202e-05	PETPET_11_syn1	4.15064887056728e-05	Glycerophosphoryl diester phosphodiesterase-like protein involved in cell wall cellulose accumulation and pectin linking. Impacts root hair, trichome and epidermal cell development.
AT4G27130	3	4	0.225129320038983	0.00105408390228474	PETPET_11_syn1	0.00137835249765788	Translation initiation factor SUI1 family protein;(source:Araport11)
AT4G27160	5	0	0.160806657170702	3.41507478465768e-08	PETPET_11_syn1	2.20841502741197e-07	seed storage albumin 3;(source:Araport11)
AT4G27190	5	11	0.514581302946248	0.000110892826561173	PETPET_11_syn1	0.000187615189123845	NB-ARC domain-containing disease resistance protein;(source:Araport11)
AT4G27290	35	63	3.15181048054577	2.38537144830851e-27	PETPET_11_syn1	2.31381030485926e-25	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G27300	12	17	0.932678611590074	3.64204174472233e-11	PETPET_11_syn1	4.23933659085679e-10	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G36220	5	5	0.321613314341405	7.51839284496276e-06	PETPET_11_syn1	2.23250236518792e-05	encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis.
AT5G38020	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	encodes a protein whose sequence is similar to SAM:salicylic acid carboxyl methyltransferase (SAMT) (GI:6002712)(Clarkia breweri) and to SAM:benzoic acid carboxyl methyltransferase (BAMT)(GI:9789277)(Antirrhinum majus). SABATH family methyltransferase.
AT5G38430	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).
AT5G42180	8	5	0.418097308643826	1.24891717044782e-09	PETPET_11_syn1	1.13573405187598e-08	Peroxidase required for casparian strip lignification as well as partially required for SGN-dependent compensatory lignification.
AT5G47650	4	4	0.257290651473124	6.72053467642327e-05	PETPET_11_syn1	0.000120720715483899	Encodes an ADP-ribose pyrophosphatase that confers enhanced tolerance to oxidative stress.
AT5G48380	3	6	0.289451982907264	0.00241037653960927	PETPET_11_syn1	0.0028629370327604	Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.
AT5G54250	3	1	0.128645325736562	0.000129569207774251	PETPET_11_syn1	0.000213020561933938	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.
AT5G56180	3	3	0.192967988604843	0.000617112679484531	PETPET_11_syn1	0.000867535216086949	encodes a protein whose sequence is similar to actin-related proteins (ARPs) in other organisms. Member of nuclear ARP family of genes.
AT5G66460	3	7	0.321613314341405	0.00336134314913139	PETPET_11_syn1	0.00380603446068963	Encodes a endo-beta-mannanase involved in seed germination and silique dehiscence.
AT1G32130	4	2	0.0587750206162381	1.33934359452569e-07	PETPET_17_syn1	7.08634520012682e-07	The C-terminal portion of this protein has high homology to the C-termini of the IWS1 (Interacts With Spt6) proteins found in yeast and humans. Interacts with transcription factor BES1. Involved in brassinosteroid-regulated gene expression.
AT1G64880	3	1	0.0391833470774921	3.70431808981321e-06	PETPET_17_syn1	1.28592651072663e-05	Ribosomal protein S5 family protein;(source:Araport11)
AT2G37430	5	5	0.0979583676937302	2.12828353244945e-08	PETPET_17_syn1	1.62981712616523e-07	Encodes a member of the zinc finger family of transcriptional regulators. It is expressed in many root tips, primary roots, cotyledons and hypocotyl. The protein is localized to the nucleus. Overexpression of ZAT11 causes increased root growth and increased sensitivity to nickel ions. The mRNA is cell-to-cell mobile.
AT3G14690	3	34	0.362445960466802	0.00566301519057001	PETPET_17_syn1	0.00619525346036043	putative cytochrome P450 The mRNA is cell-to-cell mobile.
AT3G26922	3	14	0.166529225079341	0.00057276814693033	PETPET_17_syn1	0.000846068684044295	F-box/RNI-like superfamily protein;(source:Araport11)
AT5G27650	3	2	0.0489791838468651	9.1933046477554e-06	PETPET_17_syn1	2.67525165249682e-05	PWWP domain protein involved in regulation of FLC and flowering time.
AT5G47580	4	58	0.607341879701127	0.00323359064140146	PETPET_17_syn1	0.00369009755548167	transmembrane protein;(source:Araport11)
AT5G50690	3	0	0.029387510308119	9.32881345126383e-07	PETPET_17_syn1	3.82349959763067e-06	Encodes a putative hydroxysteroid dehydrogenase (HSD). Genes that encode HSD include:   At5g50600 and At5g50700 (HSD1), At3g47350(HSD2), At3g47360(HSD3), At5g50590 and At5g50690(HSD4), At5g50770(HSD6) (Plant Cell Physiology 50:1463).  Two copies of HSD1 and HSD4 exist due to a gene duplication event.  In Plant Physiology 145:87, At5g50690 is HSD7, At4g10020 is HSD5.
